"Statistic Label","CensusYear","Sex","Single Year of Age","Administrative Counties","UNIT","VALUE"
"Population","2022","Both sexes","3 years","Carlow County Council","Number","754"
"Population","2022","Both sexes","3 years","Dublin City Council","Number","5580"
"Population","2022","Both sexes","3 years","Dún Laoghaire Rathdown County Council","Number","2613"
"Population","2022","Both sexes","3 years","Fingal County Council","Number","4384"
"Population","2022","Both sexes","3 years","South Dublin County Council","Number","3856"
"Population","2022","Both sexes","3 years","Kildare County Council","Number","3120"
"Population","2022","Both sexes","3 years","Kilkenny County Council","Number","1203"
"Population","2022","Both sexes","3 years","Laois County Council","Number","1219"
"Population","2022","Both sexes","3 years","Longford County Council","Number","583"
"Population","2022","Both sexes","3 years","Louth County Council","Number","1603"
"Population","2022","Both sexes","3 years","Meath County Council","Number","2928"
"Population","2022","Both sexes","3 years","Offaly County Council","Number","1009"
"Population","2022","Both sexes","3 years","Westmeath County Council","Number","1148"
"Population","2022","Both sexes","3 years","Wexford County Council","Number","1864"
"Population","2022","Both sexes","3 years","Wicklow County Council","Number","1862"
"Population","2022","Both sexes","3 years","Clare County Council","Number","1468"
"Population","2022","Both sexes","3 years","Cork City Council","Number","2294"
"Population","2022","Both sexes","3 years","Cork County Council","Number","4437"
"Population","2022","Both sexes","3 years","Kerry County Council","Number","1714"
"Population","2022","Both sexes","3 years","Limerick City & County Council","Number","2352"
"Population","2022","Both sexes","3 years","Tipperary County Council","Number","2048"
"Population","2022","Both sexes","3 years","Waterford City & County Council","Number","1476"
"Population","2022","Both sexes","3 years","Galway City Council","Number","799"
"Population","2022","Both sexes","3 years","Galway County Council","Number","2438"
"Population","2022","Both sexes","3 years","Leitrim County Council","Number","432"
"Population","2022","Both sexes","3 years","Mayo  County Council","Number","1557"
"Population","2022","Both sexes","3 years","Roscommon County Council","Number","859"
"Population","2022","Both sexes","3 years","Sligo County Council","Number","825"
"Population","2022","Both sexes","3 years","Cavan County Council","Number","1085"
"Population","2022","Both sexes","3 years","Donegal County Council","Number","2074"
"Population","2022","Both sexes","3 years","Monaghan County Council","Number","900"
"Population","2022","Both sexes","4 years","Ireland","Number","61505"
"Population","2022","Both sexes","4 years","Carlow County Council","Number","745"
"Population","2022","Both sexes","4 years","Dublin City Council","Number","5624"
"Population","2022","Both sexes","4 years","Dún Laoghaire Rathdown County Council","Number","2658"
"Population","2022","Both sexes","4 years","Fingal County Council","Number","4422"
"Population","2022","Both sexes","4 years","South Dublin County Council","Number","3870"
"Population","2022","Both sexes","4 years","Kildare County Council","Number","3267"
"Population","2022","Both sexes","4 years","Kilkenny County Council","Number","1234"
"Population","2022","Both sexes","4 years","Laois County Council","Number","1220"
"Population","2022","Both sexes","4 years","Longford County Council","Number","559"
"Population","2022","Both sexes","4 years","Louth County Council","Number","1732"
"Population","2022","Both sexes","4 years","Meath County Council","Number","3026"
"Population","2022","Both sexes","4 years","Offaly County Council","Number","1007"
"Population","2022","Both sexes","4 years","Westmeath County Council","Number","1208"
"Population","2022","Both sexes","4 years","Wexford County Council","Number","1941"
"Population","2022","Both sexes","4 years","Wicklow County Council","Number","1897"
"Population","2022","Both sexes","4 years","Clare County Council","Number","1505"
"Population","2022","Both sexes","4 years","Cork City Council","Number","2243"
"Population","2022","Both sexes","4 years","Cork County Council","Number","4620"
"Population","2022","Both sexes","4 years","Kerry County Council","Number","1720"
"Population","2022","Both sexes","4 years","Limerick City & County Council","Number","2467"
"Population","2022","Both sexes","4 years","Tipperary County Council","Number","2072"
"Population","2022","Both sexes","4 years","Waterford City & County Council","Number","1390"
"Population","2022","Both sexes","4 years","Galway City Council","Number","830"
"Population","2022","Both sexes","4 years","Galway County Council","Number","2543"
"Population","2022","Both sexes","4 years","Leitrim County Council","Number","450"
"Population","2022","Both sexes","4 years","Mayo  County Council","Number","1593"
"Population","2022","Both sexes","4 years","Roscommon County Council","Number","833"
"Population","2022","Both sexes","4 years","Sligo County Council","Number","820"
"Population","2022","Both sexes","4 years","Cavan County Council","Number","1047"
"Population","2022","Both sexes","4 years","Donegal County Council","Number","2089"
"Population","2022","Both sexes","4 years","Monaghan County Council","Number","873"
"Population","2022","Both sexes","5 years","Ireland","Number","64026"
"Population","2022","Both sexes","5 years","Carlow County Council","Number","749"
"Population","2022","Both sexes","5 years","Dublin City Council","Number","5575"
"Population","2022","Both sexes","5 years","Dún Laoghaire Rathdown County Council","Number","2868"
"Population","2022","Both sexes","5 years","Fingal County Council","Number","4639"
"Population","2022","Both sexes","5 years","South Dublin County Council","Number","4053"
"Population","2022","Both sexes","5 years","Kildare County Council","Number","3296"
"Population","2022","Both sexes","5 years","Kilkenny County Council","Number","1337"
"Population","2022","Both sexes","5 years","Laois County Council","Number","1248"
"Population","2022","Both sexes","5 years","Longford County Council","Number","646"
"Population","2022","Both sexes","5 years","Louth County Council","Number","1793"
"Population","2022","Both sexes","5 years","Meath County Council","Number","3121"
"Population","2022","Both sexes","5 years","Offaly County Council","Number","1099"
"Population","2022","Both sexes","5 years","Westmeath County Council","Number","1276"
"Population","2022","Both sexes","5 years","Wexford County Council","Number","2022"
"Population","2022","Both sexes","5 years","Wicklow County Council","Number","2076"
"Population","2022","Both sexes","5 years","Clare County Council","Number","1620"
"Population","2022","Both sexes","5 years","Cork City Council","Number","2362"
"Population","2022","Both sexes","5 years","Cork County Council","Number","4753"
"Population","2022","Both sexes","5 years","Kerry County Council","Number","1873"
"Population","2022","Both sexes","5 years","Limerick City & County Council","Number","2484"
"Population","2022","Both sexes","5 years","Tipperary County Council","Number","2070"
"Population","2022","Both sexes","5 years","Waterford City & County Council","Number","1515"
"Population","2022","Both sexes","5 years","Galway City Council","Number","849"
"Population","2022","Both sexes","5 years","Galway County Council","Number","2612"
"Population","2022","Both sexes","5 years","Leitrim County Council","Number","447"
"Population","2022","Both sexes","5 years","Mayo  County Council","Number","1712"
"Population","2022","Both sexes","5 years","Roscommon County Council","Number","913"
"Population","2022","Both sexes","5 years","Sligo County Council","Number","819"
"Population","2022","Both sexes","5 years","Cavan County Council","Number","1143"
"Population","2022","Both sexes","5 years","Donegal County Council","Number","2174"
"Population","2022","Both sexes","5 years","Monaghan County Council","Number","882"
"Population","2022","Both sexes","6 years","Ireland","Number","66714"
"Population","2022","Both sexes","6 years","Carlow County Council","Number","750"
"Population","2022","Both sexes","6 years","Dublin City Council","Number","5813"
"Population","2022","Both sexes","6 years","Dún Laoghaire Rathdown County Council","Number","2879"
"Population","2022","Both sexes","6 years","Fingal County Council","Number","4863"
"Population","2022","Both sexes","6 years","South Dublin County Council","Number","4198"
"Population","2022","Both sexes","6 years","Kildare County Council","Number","3506"
"Population","2022","Both sexes","6 years","Kilkenny County Council","Number","1432"
"Population","2022","Both sexes","6 years","Laois County Council","Number","1328"
"Population","2022","Both sexes","6 years","Longford County Council","Number","624"
"Population","2022","Both sexes","6 years","Louth County Council","Number","1922"
"Population","2022","Both sexes","6 years","Meath County Council","Number","3216"
"Population","2022","Both sexes","6 years","Offaly County Council","Number","1079"
"Population","2022","Both sexes","6 years","Westmeath County Council","Number","1352"
"Population","2022","Both sexes","6 years","Wexford County Council","Number","2165"
"Population","2022","Both sexes","6 years","Wicklow County Council","Number","2116"
"Population","2022","Both sexes","6 years","Clare County Council","Number","1656"
"Population","2022","Both sexes","6 years","Cork City Council","Number","2496"
"Population","2022","Both sexes","6 years","Cork County Council","Number","5072"
"Population","2022","Both sexes","6 years","Kerry County Council","Number","1848"
"Population","2022","Both sexes","6 years","Limerick City & County Council","Number","2621"
"Population","2022","Both sexes","6 years","Tipperary County Council","Number","2202"
"Population","2022","Both sexes","6 years","Waterford City & County Council","Number","1627"
"Population","2022","Both sexes","6 years","Galway City Council","Number","855"
"Population","2022","Both sexes","6 years","Galway County Council","Number","2720"
"Population","2022","Both sexes","6 years","Leitrim County Council","Number","468"
"Population","2022","Both sexes","6 years","Mayo  County Council","Number","1764"
"Population","2022","Both sexes","6 years","Roscommon County Council","Number","923"
"Population","2022","Both sexes","6 years","Sligo County Council","Number","824"
"Population","2022","Both sexes","6 years","Cavan County Council","Number","1176"
"Population","2022","Both sexes","6 years","Donegal County Council","Number","2224"
"Population","2022","Both sexes","6 years","Monaghan County Council","Number","995"
"Population","2022","Both sexes","7 years","Ireland","Number","69001"
"Population","2022","Both sexes","7 years","Carlow County Council","Number","889"
"Population","2022","Both sexes","7 years","Dublin City Council","Number","5912"
"Population","2022","Both sexes","7 years","Dún Laoghaire Rathdown County Council","Number","2974"
"Population","2022","Both sexes","7 years","Fingal County Council","Number","5053"
"Population","2022","Both sexes","7 years","South Dublin County Council","Number","4394"
"Population","2022","Both sexes","7 years","Kildare County Council","Number","3655"
"Population","2022","Both sexes","7 years","Kilkenny County Council","Number","1467"
"Population","2022","Both sexes","7 years","Laois County Council","Number","1409"
"Population","2022","Both sexes","7 years","Longford County Council","Number","676"
"Population","2022","Both sexes","7 years","Louth County Council","Number","1950"
"Population","2022","Both sexes","7 years","Meath County Council","Number","3439"
"Population","2022","Both sexes","7 years","Offaly County Council","Number","1238"
"Population","2022","Both sexes","7 years","Westmeath County Council","Number","1331"
"Population","2022","Both sexes","7 years","Wexford County Council","Number","2233"
"Population","2022","Both sexes","7 years","Wicklow County Council","Number","2197"
"Population","2022","Both sexes","7 years","Clare County Council","Number","1663"
"Population","2022","Both sexes","7 years","Cork City Council","Number","2564"
"Population","2022","Both sexes","7 years","Cork County Council","Number","5342"
"Population","2022","Both sexes","7 years","Kerry County Council","Number","1957"
"Population","2022","Both sexes","7 years","Limerick City & County Council","Number","2603"
"Population","2022","Both sexes","7 years","Tipperary County Council","Number","2236"
"Population","2022","Both sexes","7 years","Waterford City & County Council","Number","1689"
"Population","2022","Both sexes","7 years","Galway City Council","Number","893"
"Population","2022","Both sexes","7 years","Galway County Council","Number","2659"
"Population","2022","Both sexes","7 years","Leitrim County Council","Number","493"
"Population","2022","Both sexes","7 years","Mayo  County Council","Number","1798"
"Population","2022","Both sexes","7 years","Roscommon County Council","Number","1011"
"Population","2022","Both sexes","7 years","Sligo County Council","Number","934"
"Population","2022","Both sexes","7 years","Cavan County Council","Number","1162"
"Population","2022","Both sexes","7 years","Donegal County Council","Number","2212"
"Population","2022","Both sexes","7 years","Monaghan County Council","Number","968"
"Population","2022","Both sexes","8 years","Ireland","Number","70733"
"Population","2022","Both sexes","8 years","Carlow County Council","Number","819"
"Population","2022","Both sexes","8 years","Dublin City Council","Number","6086"
"Population","2022","Both sexes","8 years","Dún Laoghaire Rathdown County Council","Number","2985"
"Population","2022","Both sexes","8 years","Fingal County Council","Number","5360"
"Population","2022","Both sexes","8 years","South Dublin County Council","Number","4503"
"Population","2022","Both sexes","8 years","Kildare County Council","Number","3699"
"Population","2022","Both sexes","8 years","Kilkenny County Council","Number","1483"
"Population","2022","Both sexes","8 years","Laois County Council","Number","1446"
"Population","2022","Both sexes","8 years","Longford County Council","Number","661"
"Population","2022","Both sexes","8 years","Louth County Council","Number","2059"
"Population","2022","Both sexes","8 years","Meath County Council","Number","3593"
"Population","2022","Both sexes","8 years","Offaly County Council","Number","1216"
"Population","2022","Both sexes","8 years","Westmeath County Council","Number","1412"
"Population","2022","Both sexes","8 years","Wexford County Council","Number","2292"
"Population","2022","Both sexes","8 years","Wicklow County Council","Number","2237"
"Population","2022","Both sexes","8 years","Clare County Council","Number","1670"
"Population","2022","Both sexes","8 years","Cork City Council","Number","2516"
"Population","2022","Both sexes","8 years","Cork County Council","Number","5410"
"Population","2022","Both sexes","8 years","Kerry County Council","Number","1876"
"Population","2022","Both sexes","8 years","Limerick City & County Council","Number","2770"
"Population","2022","Both sexes","8 years","Tipperary County Council","Number","2314"
"Population","2022","Both sexes","8 years","Waterford City & County Council","Number","1736"
"Population","2022","Both sexes","8 years","Galway City Council","Number","923"
"Population","2022","Both sexes","8 years","Galway County Council","Number","2915"
"Population","2022","Both sexes","8 years","Leitrim County Council","Number","509"
"Population","2022","Both sexes","8 years","Mayo  County Council","Number","1792"
"Population","2022","Both sexes","8 years","Roscommon County Council","Number","982"
"Population","2022","Both sexes","8 years","Sligo County Council","Number","942"
"Population","2022","Both sexes","8 years","Cavan County Council","Number","1217"
"Population","2022","Both sexes","8 years","Donegal County Council","Number","2319"
"Population","2022","Both sexes","8 years","Monaghan County Council","Number","991"
"Population","2022","Both sexes","9 years","Ireland","Number","72196"
"Population","2022","Both sexes","9 years","Carlow County Council","Number","882"
"Population","2022","Both sexes","9 years","Dublin City Council","Number","5970"
"Population","2022","Both sexes","9 years","Dún Laoghaire Rathdown County Council","Number","3004"
"Population","2022","Both sexes","9 years","Fingal County Council","Number","5400"
"Population","2022","Both sexes","9 years","South Dublin County Council","Number","4522"
"Population","2022","Both sexes","9 years","Kildare County Council","Number","3832"
"Population","2022","Both sexes","9 years","Kilkenny County Council","Number","1529"
"Population","2022","Both sexes","9 years","Laois County Council","Number","1435"
"Population","2022","Both sexes","9 years","Longford County Council","Number","746"
"Population","2022","Both sexes","9 years","Louth County Council","Number","2124"
"Population","2022","Both sexes","9 years","Meath County Council","Number","3637"
"Population","2022","Both sexes","9 years","Offaly County Council","Number","1210"
"Population","2022","Both sexes","9 years","Westmeath County Council","Number","1454"
"Population","2022","Both sexes","9 years","Wexford County Council","Number","2354"
"Population","2022","Both sexes","9 years","Wicklow County Council","Number","2364"
"Population","2022","Both sexes","9 years","Clare County Council","Number","1806"
"Population","2022","Both sexes","9 years","Cork City Council","Number","2617"
"Population","2022","Both sexes","9 years","Cork County Council","Number","5501"
"Population","2022","Both sexes","9 years","Kerry County Council","Number","2071"
"Population","2022","Both sexes","9 years","Limerick City & County Council","Number","2825"
"Population","2022","Both sexes","9 years","Tipperary County Council","Number","2267"
"Population","2022","Both sexes","9 years","Waterford City & County Council","Number","1727"
"Population","2022","Both sexes","9 years","Galway City Council","Number","942"
"Population","2022","Both sexes","9 years","Galway County Council","Number","2890"
"Population","2022","Both sexes","9 years","Leitrim County Council","Number","542"
"Population","2022","Both sexes","9 years","Mayo  County Council","Number","1886"
"Population","2022","Both sexes","9 years","Roscommon County Council","Number","1029"
"Population","2022","Both sexes","9 years","Sligo County Council","Number","960"
"Population","2022","Both sexes","9 years","Cavan County Council","Number","1289"
"Population","2022","Both sexes","9 years","Donegal County Council","Number","2391"
"Population","2022","Both sexes","9 years","Monaghan County Council","Number","990"
"Population","2022","Both sexes","10 years","Ireland","Number","74101"
"Population","2022","Both sexes","10 years","Carlow County Council","Number","921"
"Population","2022","Both sexes","10 years","Dublin City Council","Number","6174"
"Population","2022","Both sexes","10 years","Dún Laoghaire Rathdown County Council","Number","3035"
"Population","2022","Both sexes","10 years","Fingal County Council","Number","5674"
"Population","2022","Both sexes","10 years","South Dublin County Council","Number","4797"
"Population","2022","Both sexes","10 years","Kildare County Council","Number","3875"
"Population","2022","Both sexes","10 years","Kilkenny County Council","Number","1618"
"Population","2022","Both sexes","10 years","Laois County Council","Number","1562"
"Population","2022","Both sexes","10 years","Longford County Council","Number","728"
"Population","2022","Both sexes","10 years","Louth County Council","Number","2125"
"Population","2022","Both sexes","10 years","Meath County Council","Number","3756"
"Population","2022","Both sexes","10 years","Offaly County Council","Number","1293"
"Population","2022","Both sexes","10 years","Westmeath County Council","Number","1405"
"Population","2022","Both sexes","10 years","Wexford County Council","Number","2373"
"Population","2022","Both sexes","10 years","Wicklow County Council","Number","2322"
"Population","2022","Both sexes","10 years","Clare County Council","Number","1874"
"Population","2022","Both sexes","10 years","Cork City Council","Number","2580"
"Population","2022","Both sexes","10 years","Cork County Council","Number","5652"
"Population","2022","Both sexes","10 years","Kerry County Council","Number","2066"
"Population","2022","Both sexes","10 years","Limerick City & County Council","Number","2868"
"Population","2022","Both sexes","10 years","Tipperary County Council","Number","2475"
"Population","2022","Both sexes","10 years","Waterford City & County Council","Number","1775"
"Population","2022","Both sexes","10 years","Galway City Council","Number","888"
"Population","2022","Both sexes","10 years","Galway County Council","Number","2974"
"Population","2022","Both sexes","10 years","Leitrim County Council","Number","502"
"Population","2022","Both sexes","10 years","Mayo  County Council","Number","1907"
"Population","2022","Both sexes","10 years","Roscommon County Council","Number","1008"
"Population","2022","Both sexes","10 years","Sligo County Council","Number","1018"
"Population","2022","Both sexes","10 years","Cavan County Council","Number","1312"
"Population","2022","Both sexes","10 years","Donegal County Council","Number","2510"
"Population","2022","Both sexes","10 years","Monaghan County Council","Number","1034"
"Population","2022","Both sexes","11 years","Ireland","Number","75159"
"Population","2022","Both sexes","11 years","Carlow County Council","Number","964"
"Population","2022","Both sexes","11 years","Dublin City Council","Number","6056"
"Population","2022","Both sexes","11 years","Dún Laoghaire Rathdown County Council","Number","3020"
"Population","2022","Both sexes","11 years","Fingal County Council","Number","5467"
"Population","2022","Both sexes","11 years","South Dublin County Council","Number","4732"
"Population","2022","Both sexes","11 years","Kildare County Council","Number","4081"
"Population","2022","Both sexes","11 years","Kilkenny County Council","Number","1609"
"Population","2022","Both sexes","11 years","Laois County Council","Number","1553"
"Population","2022","Both sexes","11 years","Longford County Council","Number","734"
"Population","2022","Both sexes","11 years","Louth County Council","Number","2186"
"Population","2022","Both sexes","11 years","Meath County Council","Number","3898"
"Population","2022","Both sexes","11 years","Offaly County Council","Number","1267"
"Population","2022","Both sexes","11 years","Westmeath County Council","Number","1484"
"Population","2022","Both sexes","11 years","Wexford County Council","Number","2410"
"Population","2022","Both sexes","11 years","Wicklow County Council","Number","2539"
"Population","2022","Both sexes","11 years","Clare County Council","Number","1821"
"Population","2022","Both sexes","11 years","Cork City Council","Number","2695"
"Population","2022","Both sexes","11 years","Cork County Council","Number","5852"
"Population","2022","Both sexes","11 years","Kerry County Council","Number","2116"
"Population","2022","Both sexes","11 years","Limerick City & County Council","Number","2979"
"Population","2022","Both sexes","11 years","Tipperary County Council","Number","2431"
"Population","2022","Both sexes","11 years","Waterford City & County Council","Number","1877"
"Population","2022","Both sexes","11 years","Galway City Council","Number","971"
"Population","2022","Both sexes","11 years","Galway County Council","Number","2978"
"Population","2022","Both sexes","11 years","Leitrim County Council","Number","531"
"Population","2022","Both sexes","11 years","Mayo  County Council","Number","1975"
"Population","2022","Both sexes","11 years","Roscommon County Council","Number","1058"
"Population","2022","Both sexes","11 years","Sligo County Council","Number","956"
"Population","2022","Both sexes","11 years","Cavan County Council","Number","1328"
"Population","2022","Both sexes","11 years","Donegal County Council","Number","2584"
"Population","2022","Both sexes","11 years","Monaghan County Council","Number","1007"
"Population","2022","Both sexes","12 years","Ireland","Number","76254"
"Population","2022","Both sexes","12 years","Carlow County Council","Number","908"
"Population","2022","Both sexes","12 years","Dublin City Council","Number","6284"
"Population","2022","Both sexes","12 years","Dún Laoghaire Rathdown County Council","Number","2991"
"Population","2022","Both sexes","12 years","Fingal County Council","Number","5792"
"Population","2022","Both sexes","12 years","South Dublin County Council","Number","4855"
"Population","2022","Both sexes","12 years","Kildare County Council","Number","4041"
"Population","2022","Both sexes","12 years","Kilkenny County Council","Number","1600"
"Population","2022","Both sexes","12 years","Laois County Council","Number","1625"
"Population","2022","Both sexes","12 years","Longford County Council","Number","731"
"Population","2022","Both sexes","12 years","Louth County Council","Number","2211"
"Population","2022","Both sexes","12 years","Meath County Council","Number","3876"
"Population","2022","Both sexes","12 years","Offaly County Council","Number","1300"
